attack_army_id	defense_army_id	median_fraction_ipc_winner	min_fraction_ipc_winner	max_fraction_ipc_winner	percentile_25	percentile_75	iqr_fraction_ipc_winner	mod_t_fraction_ipc_winner	abs_mod_t_fraction_ipc_winner
50	45	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.2068965517241379	0.48275862068965525	-1.1428571428571426	1.1428571428571426
57	45	-0.5517241379310345	-1.0	0.9	-0.6896551724137931	-0.2068965517241379	0.48275862068965525	-1.1428571428571426	1.1428571428571426
16	43	-0.5517241379310345	-1.0	0.8571428571428571	-0.7931034482758621	-0.3448275862068966	0.4482758620689655	-1.2307692307692308	1.2307692307692308
13	43	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.25862068965517243	0.4310344827586207	-1.2799999999999998	1.2799999999999998
5	46	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.2758620689655172	0.41379310344827597	-1.333333333333333	1.333333333333333
13	46	-0.5517241379310345	-1.0	0.8666666666666667	-0.6896551724137931	-0.2758620689655172	0.41379310344827597	-1.333333333333333	1.333333333333333
18	46	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.2758620689655172	0.41379310344827597	-1.333333333333333	1.333333333333333
26	46	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.2758620689655172	0.41379310344827597	-1.333333333333333	1.333333333333333
38	46	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.2758620689655172	0.41379310344827597	-1.333333333333333	1.333333333333333
43	46	-0.5517241379310345	-1.0	0.896551724137931	-0.6896551724137931	-0.2758620689655172	0.41379310344827597	-1.333333333333333	1.333333333333333
47	46	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.2758620689655172	0.41379310344827597	-1.333333333333333	1.333333333333333
50	46	-0.5517241379310345	-1.0	0.8928571428571429	-0.6896551724137931	-0.2758620689655172	0.41379310344827597	-1.333333333333333	1.333333333333333
57	46	-0.5517241379310345	-1.0	0.9	-0.6896551724137931	-0.2758620689655172	0.41379310344827597	-1.333333333333333	1.333333333333333
4	23	-0.5517241379310345	-1.0	1.0	-0.7586206896551724	-0.3448275862068966	0.4137931034482758	-1.3333333333333335	1.3333333333333335
7	23	-0.5517241379310345	-1.0	1.0	-0.7586206896551724	-0.3448275862068966	0.4137931034482758	-1.3333333333333335	1.3333333333333335
10	23	-0.5517241379310345	-1.0	1.0	-0.7586206896551724	-0.3448275862068966	0.4137931034482758	-1.3333333333333335	1.3333333333333335
11	23	-0.5517241379310345	-1.0	1.0	-0.7586206896551724	-0.3448275862068966	0.4137931034482758	-1.3333333333333335	1.3333333333333335
21	23	-0.5517241379310345	-1.0	0.896551724137931	-0.7586206896551724	-0.3448275862068966	0.4137931034482758	-1.3333333333333335	1.3333333333333335
22	23	-0.5517241379310345	-1.0	1.0	-0.7586206896551724	-0.3448275862068966	0.4137931034482758	-1.3333333333333335	1.3333333333333335
28	23	-0.5517241379310345	-1.0	1.0	-0.7586206896551724	-0.3448275862068966	0.4137931034482758	-1.3333333333333335	1.3333333333333335
29	23	-0.5517241379310345	-1.0	0.8928571428571429	-0.7586206896551724	-0.3448275862068966	0.4137931034482758	-1.3333333333333335	1.3333333333333335
42	23	-0.5517241379310345	-1.0	1.0	-0.7586206896551724	-0.3448275862068966	0.4137931034482758	-1.3333333333333335	1.3333333333333335
9	45	-0.5517241379310345	-1.0	1.0	-0.7931034482758621	-0.4137931034482758	0.3793103448275863	-1.4545454545454541	1.4545454545454541
12	46	-0.5517241379310345	-1.0	1.0	-0.7931034482758621	-0.4137931034482758	0.3793103448275863	-1.4545454545454541	1.4545454545454541
23	45	-0.5517241379310345	-1.0	1.0	-0.7931034482758621	-0.4137931034482758	0.3793103448275863	-1.4545454545454541	1.4545454545454541
23	46	-0.5517241379310345	-1.0	0.896551724137931	-0.7931034482758621	-0.4137931034482758	0.3793103448275863	-1.4545454545454541	1.4545454545454541
34	45	-0.5517241379310345	-1.0	0.8928571428571429	-0.7931034482758621	-0.4137931034482758	0.3793103448275863	-1.4545454545454541	1.4545454545454541
58	45	-0.5517241379310345	-1.0	1.0	-0.7931034482758621	-0.4137931034482758	0.3793103448275863	-1.4545454545454541	1.4545454545454541
58	46	-0.5517241379310345	-1.0	1.0	-0.7931034482758621	-0.4137931034482758	0.3793103448275863	-1.4545454545454541	1.4545454545454541
23	43	-0.5517241379310345	-1.0	0.896551724137931	-0.6896551724137931	-0.3448275862068966	0.3448275862068966	-1.5999999999999999	1.5999999999999999
24	43	-0.5517241379310345	-1.0	0.896551724137931	-0.6896551724137931	-0.3448275862068966	0.3448275862068966	-1.5999999999999999	1.5999999999999999
30	43	-0.5517241379310345	-1.0	0.9	-0.6896551724137931	-0.3448275862068966	0.3448275862068966	-1.5999999999999999	1.5999999999999999
34	43	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.3448275862068966	0.3448275862068966	-1.5999999999999999	1.5999999999999999
9	46	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.4137931034482758	0.27586206896551735	-1.9999999999999991	1.9999999999999991
13	45	-0.5517241379310345	-1.0	0.8666666666666667	-0.6896551724137931	-0.4137931034482758	0.27586206896551735	-1.9999999999999991	1.9999999999999991
24	45	-0.5517241379310345	-1.0	0.896551724137931	-0.6896551724137931	-0.4137931034482758	0.27586206896551735	-1.9999999999999991	1.9999999999999991
24	46	-0.5517241379310345	-1.0	0.896551724137931	-0.6896551724137931	-0.4137931034482758	0.27586206896551735	-1.9999999999999991	1.9999999999999991
30	45	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.4137931034482758	0.27586206896551735	-1.9999999999999991	1.9999999999999991
30	46	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.4137931034482758	0.27586206896551735	-1.9999999999999991	1.9999999999999991
34	46	-0.5517241379310345	-1.0	0.8928571428571429	-0.6896551724137931	-0.4137931034482758	0.27586206896551735	-1.9999999999999991	1.9999999999999991
25	61	-0.55	-1.0	0.896551724137931	-0.7	-0.4	0.29999999999999993	-1.833333333333334	1.833333333333334
42	37	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	0.6896551724137931	1.3563218390804597	-0.39322033898305087	0.39322033898305087
22	37	-0.5333333333333333	-1.0	1.0	-0.8	0.4137931034482758	1.2137931034482758	-0.4393939393939394	0.4393939393939394
28	37	-0.5333333333333333	-1.0	1.0	-0.8	0.4	1.2000000000000002	-0.44444444444444436	0.44444444444444436
4	37	-0.5333333333333333	-1.0	1.0	-0.8	0.3571428571428571	1.157142857142857	-0.4609053497942387	0.4609053497942387
7	37	-0.5333333333333333	-1.0	1.0	-0.8	0.3333333333333333	1.1333333333333333	-0.47058823529411764	0.47058823529411764
10	37	-0.5333333333333333	-1.0	1.0	-0.7	0.4	1.1	-0.4848484848484848	0.4848484848484848
8	37	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	0.4285714285714285	1.0952380952380951	-0.48695652173913045	0.48695652173913045
50	36	-0.5333333333333333	-1.0	0.8928571428571429	-0.6666666666666666	0.4285714285714285	1.0952380952380951	-0.48695652173913045	0.48695652173913045
3	37	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	0.4	1.0666666666666667	-0.5	0.5
47	36	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	0.4	1.0666666666666667	-0.5	0.5
38	36	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	0.3571428571428571	1.0238095238095237	-0.5209302325581395	0.5209302325581395
26	36	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	0.3448275862068966	1.0114942528735633	-0.5272727272727272	0.5272727272727272
5	36	-0.5333333333333333	-1.0	0.8	-0.6666666666666666	0.2	0.8666666666666667	-0.6153846153846153	0.6153846153846153
3	12	-0.5333333333333333	-1.0	1.0	-0.7333333333333333	0.0	0.7333333333333333	-0.7272727272727273	0.7272727272727273
8	12	-0.5333333333333333	-1.0	1.0	-0.7333333333333333	0.0	0.7333333333333333	-0.7272727272727273	0.7272727272727273
9	36	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	0.0	0.6666666666666666	-0.8	0.8
13	36	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	0.0	0.6666666666666666	-0.8	0.8
24	36	-0.5333333333333333	-1.0	0.896551724137931	-0.6666666666666666	0.0	0.6666666666666666	-0.8	0.8
30	36	-0.5333333333333333	-1.0	0.9	-0.6666666666666666	0.0	0.6666666666666666	-0.8	0.8
55	39	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	0.0	0.6666666666666666	-0.8	0.8
16	36	-0.5333333333333333	-1.0	0.8571428571428571	-0.8	-0.3333333333333333	0.46666666666666673	-1.1428571428571428	1.1428571428571428
48	36	-0.5333333333333333	-1.0	1.0	-0.8	-0.3333333333333333	0.46666666666666673	-1.1428571428571428	1.1428571428571428
58	36	-0.5333333333333333	-1.0	1.0	-0.8	-0.3333333333333333	0.46666666666666673	-1.1428571428571428	1.1428571428571428
5	39	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	-0.2	0.4666666666666666	-1.142857142857143	1.142857142857143
18	39	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	-0.2	0.4666666666666666	-1.142857142857143	1.142857142857143
26	39	-0.5333333333333333	-1.0	0.896551724137931	-0.6666666666666666	-0.2	0.4666666666666666	-1.142857142857143	1.142857142857143
38	39	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	-0.2	0.4666666666666666	-1.142857142857143	1.142857142857143
43	39	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	-0.2	0.4666666666666666	-1.142857142857143	1.142857142857143
47	39	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	-0.2	0.4666666666666666	-1.142857142857143	1.142857142857143
50	39	-0.5333333333333333	-1.0	0.8928571428571429	-0.6666666666666666	-0.2	0.4666666666666666	-1.142857142857143	1.142857142857143
57	39	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	-0.2	0.4666666666666666	-1.142857142857143	1.142857142857143
5	41	-0.5333333333333333	-1.0	0.8	-0.6666666666666666	-0.2666666666666666	0.4	-1.3333333333333333	1.3333333333333333
12	39	-0.5333333333333333	-1.0	0.8666666666666667	-0.8	-0.4	0.4	-1.3333333333333333	1.3333333333333333
16	41	-0.5333333333333333	-1.0	0.8571428571428571	-0.8	-0.4	0.4	-1.3333333333333333	1.3333333333333333
18	41	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	-0.2666666666666666	0.4	-1.3333333333333333	1.3333333333333333
24	41	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	-0.2666666666666666	0.4	-1.3333333333333333	1.3333333333333333
26	41	-0.5333333333333333	-1.0	0.896551724137931	-0.6666666666666666	-0.2666666666666666	0.4	-1.3333333333333333	1.3333333333333333
30	41	-0.5333333333333333	-1.0	1.0	-0.8	-0.4	0.4	-1.3333333333333333	1.3333333333333333
34	39	-0.5333333333333333	-1.0	1.0	-0.8	-0.4	0.4	-1.3333333333333333	1.3333333333333333
34	41	-0.5333333333333333	-1.0	1.0	-0.8	-0.4	0.4	-1.3333333333333333	1.3333333333333333
38	41	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	-0.2666666666666666	0.4	-1.3333333333333333	1.3333333333333333
43	41	-0.5333333333333333	-1.0	0.896551724137931	-0.6666666666666666	-0.2666666666666666	0.4	-1.3333333333333333	1.3333333333333333
44	41	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	-0.2666666666666666	0.4	-1.3333333333333333	1.3333333333333333
47	41	-0.5333333333333333	-1.0	0.9	-0.6666666666666666	-0.2666666666666666	0.4	-1.3333333333333333	1.3333333333333333
48	39	-0.5333333333333333	-1.0	0.8928571428571429	-0.8	-0.4	0.4	-1.3333333333333333	1.3333333333333333
48	41	-0.5333333333333333	-1.0	0.7857142857142857	-0.8	-0.4	0.4	-1.3333333333333333	1.3333333333333333
50	41	-0.5333333333333333	-1.0	0.8928571428571429	-0.6666666666666666	-0.2666666666666666	0.4	-1.3333333333333333	1.3333333333333333
57	41	-0.5333333333333333	-1.0	0.9	-0.6666666666666666	-0.2666666666666666	0.4	-1.3333333333333333	1.3333333333333333
58	41	-0.5333333333333333	-1.0	0.8928571428571429	-0.8	-0.4	0.4	-1.3333333333333333	1.3333333333333333
4	12	-0.5333333333333333	-1.0	0.7857142857142857	-0.7333333333333333	-0.3333333333333333	0.39999999999999997	-1.3333333333333335	1.3333333333333335
7	12	-0.5333333333333333	-1.0	1.0	-0.7333333333333333	-0.3333333333333333	0.39999999999999997	-1.3333333333333335	1.3333333333333335
10	12	-0.5333333333333333	-1.0	1.0	-0.7333333333333333	-0.3333333333333333	0.39999999999999997	-1.3333333333333335	1.3333333333333335
11	12	-0.5333333333333333	-1.0	0.8571428571428571	-0.7333333333333333	-0.3333333333333333	0.39999999999999997	-1.3333333333333335	1.3333333333333335
21	12	-0.5333333333333333	-1.0	1.0	-0.7333333333333333	-0.3333333333333333	0.39999999999999997	-1.3333333333333335	1.3333333333333335
22	12	-0.5333333333333333	-1.0	0.896551724137931	-0.7333333333333333	-0.3333333333333333	0.39999999999999997	-1.3333333333333335	1.3333333333333335
28	12	-0.5333333333333333	-1.0	1.0	-0.7333333333333333	-0.3333333333333333	0.39999999999999997	-1.3333333333333335	1.3333333333333335
29	12	-0.5333333333333333	-1.0	0.8928571428571429	-0.7333333333333333	-0.3333333333333333	0.39999999999999997	-1.3333333333333335	1.3333333333333335
42	12	-0.5333333333333333	-1.0	0.896551724137931	-0.7333333333333333	-0.3333333333333333	0.39999999999999997	-1.3333333333333335	1.3333333333333335
12	36	-0.5333333333333333	-1.0	1.0	-0.6666666666666666	-0.3333333333333333	0.3333333333333333	-1.6	1.6
